Source,Target,Weight
林娜,乔安娜,33
林娜,温特显姆,30
林娜,玛丽,7
林娜,贾克琳,51
林娜,希蒙,207
林娜,提姆,35
林娜,潘宁顿,77
林娜,洛克弗德,10
林娜,波洛,181
林娜,罗莎莉,15
林娜,鲍尔斯,4
林娜,芬索普,8
林娜,梵舒乐,12
林娜,雷斯,58
林娜,贝斯勒,12
林娜,露易丝,20
林娜,胡利伍德,7
林娜,珂妮亚,6
林娜,梅尔劬,4
乔安娜,林娜,33
乔安娜,温特显姆,4
乔安娜,贾克琳,4
乔安娜,波洛,22
乔安娜,提姆,38
温特显姆,林娜,30
温特显姆,乔安娜,4
贾克琳,乔安娜,4
贾克琳,林娜,51
贾克琳,希蒙,159
贾克琳,波洛,114
贾克琳,潘宁顿,18
贾克琳,贝斯勒,25
贾克琳,芬索普,24
贾克琳,罗莎莉,17
贾克琳,珂妮亚,48
贾克琳,鲍尔斯,19
贾克琳,雷斯,36
贾克琳,梵舒乐,10
贾克琳,提姆,22
贾克琳,露易丝,5
玛丽,林娜,7
玛丽,鲍尔斯,12
玛丽,梵舒乐,7
玛丽,波洛,7
玛丽,珂妮亚,18
玛丽,贝斯勒,4
玛丽,露易丝,6
玛丽,胡利伍德,13
玛丽,雷斯,4
希蒙,林娜,207
希蒙,贾克琳,159
希蒙,提姆,25
希蒙,波洛,183
希蒙,罗莎莉,9
希蒙,潘宁顿,43
希蒙,芬索普,29
希蒙,珂妮亚,35
希蒙,雷斯,37
希蒙,贝斯勒,35
希蒙,鲍尔斯,11
希蒙,露易丝,31
希蒙,胡利伍德,6
波洛,乔安娜,22
波洛,提姆,86
波洛,罗莎莉,65
波洛,林娜,181
波洛,希蒙,183
波洛,贾克琳,114
波洛,潘宁顿,82
波洛,芬索普,64
波洛,梵舒乐,59
波洛,鲍尔斯,40
波洛,珂妮亚,66
波洛,玛丽,7
波洛,雷斯,186
波洛,贝斯勒,55
波洛,露易丝,25
波洛,胡利伍德,13
波洛,梅尔劬,5
提姆,乔安娜,38
提姆,林娜,35
提姆,罗莎莉,33
提姆,波洛,86
提姆,希蒙,25
提姆,潘宁顿,14
提姆,贝斯勒,9
提姆,鲍尔斯,7
提姆,梵舒乐,6
提姆,芬索普,8
提姆,珂妮亚,11
提姆,雷斯,22
提姆,贾克琳,22
提姆,露易丝,4
梵舒乐,鲍尔斯,44
梵舒乐,玛丽,7
梵舒乐,波洛,59
梵舒乐,提姆,6
梵舒乐,珂妮亚,31
梵舒乐,潘宁顿,4
梵舒乐,林娜,12
梵舒乐,贝斯勒,13
梵舒乐,芬索普,11
梵舒乐,雷斯,38
梵舒乐,贾克琳,10
梵舒乐,罗莎莉,10
鲍尔斯,梵舒乐,44
鲍尔斯,玛丽,12
鲍尔斯,提姆,7
鲍尔斯,林娜,4
鲍尔斯,波洛,40
鲍尔斯,珂妮亚,25
鲍尔斯,贝斯勒,16
鲍尔斯,贾克琳,19
鲍尔斯,芬索普,31
鲍尔斯,希蒙,11
鲍尔斯,雷斯,34
潘宁顿,洛克弗德,10
潘宁顿,林娜,77
潘宁顿,提姆,14
潘宁顿,希蒙,43
潘宁顿,波洛,82
潘宁顿,贾克琳,18
潘宁顿,芬索普,17
潘宁顿,梵舒乐,4
潘宁顿,雷斯,65
潘宁顿,贝斯勒,10
潘宁顿,珂妮亚,7
潘宁顿,胡利伍德,11
潘宁顿,露易丝,12
潘宁顿,梅尔劬,7
洛克弗德,潘宁顿,10
洛克弗德,林娜,10
芬索普,波洛,64
芬索普,贝斯勒,17
芬索普,贾克琳,24
芬索普,提姆,8
芬索普,潘宁顿,17
芬索普,林娜,8
芬索普,希蒙,29
芬索普,珂妮亚,62
芬索普,梵舒乐,11
芬索普,鲍尔斯,31
芬索普,雷斯,27
罗莎莉,提姆,33
罗莎莉,波洛,65
罗莎莉,林娜,15
罗莎莉,希蒙,9
罗莎莉,贝斯勒,8
罗莎莉,贾克琳,17
罗莎莉,雷斯,15
罗莎莉,梵舒乐,10
珂妮亚,鲍尔斯,25
珂妮亚,梵舒乐,31
珂妮亚,波洛,66
珂妮亚,贝斯勒,35
珂妮亚,玛丽,18
珂妮亚,提姆,11
珂妮亚,芬索普,62
珂妮亚,希蒙,35
珂妮亚,贾克琳,48
珂妮亚,雷斯,23
珂妮亚,潘宁顿,7
珂妮亚,林娜,6
贝斯勒,提姆,9
贝斯勒,罗莎莉,8
贝斯勒,芬索普,17
贝斯勒,贾克琳,25
贝斯勒,珂妮亚,35
贝斯勒,梵舒乐,13
贝斯勒,鲍尔斯,16
贝斯勒,希蒙,35
贝斯勒,雷斯,41
贝斯勒,潘宁顿,10
贝斯勒,林娜,12
贝斯勒,波洛,55
贝斯勒,露易丝,11
贝斯勒,玛丽,4
雷斯,波洛,186
雷斯,潘宁顿,65
雷斯,希蒙,37
雷斯,林娜,58
雷斯,贝斯勒,41
雷斯,梵舒乐,38
雷斯,贾克琳,36
雷斯,鲍尔斯,34
雷斯,芬索普,27
雷斯,珂妮亚,23
雷斯,提姆,22
雷斯,胡利伍德,19
雷斯,露易丝,26
雷斯,玛丽,4
雷斯,罗莎莉,15
露易丝,贝斯勒,11
露易丝,波洛,25
露易丝,希蒙,31
露易丝,玛丽,6
露易丝,胡利伍德,11
露易丝,林娜,20
露易丝,雷斯,26
露易丝,贾克琳,5
露易丝,潘宁顿,12
露易丝,提姆,4
胡利伍德,波洛,13
胡利伍德,希蒙,6
胡利伍德,露易丝,11
胡利伍德,玛丽,13
胡利伍德,林娜,7
胡利伍德,雷斯,19
胡利伍德,潘宁顿,11
梅尔劬,波洛,5
梅尔劬,林娜,4
梅尔劬,潘宁顿,7
