Source,Target,Weight
笹垣,中冢,34
笹垣,古贺,147
笹垣,弥生子,77
笹垣,洋介,24
笹垣,松浦,101
笹垣,亮司,87
笹垣,文代,57
笹垣,雪穗,225
笹垣,寺崎,63
笹垣,园村,4
笹垣,今枝,167
笹垣,秋吉,27
笹垣,一成,197
笹垣,高宫,14
笹垣,康晴,19
笹垣,绘里,21
笹垣,菊池,79
笹垣,藤村,12
笹垣,典子,23
笹垣,美佳,5
中冢,笹垣,34
中冢,古贺,4
中冢,文代,6
古贺,中冢,4
古贺,笹垣,147
古贺,弥生子,7
古贺,松浦,14
古贺,雪穗,65
古贺,文代,31
古贺,亮司,4
古贺,寺崎,31
洋介,笹垣,24
洋介,弥生子,17
洋介,松浦,12
洋介,亮司,8
洋介,文代,16
洋介,寺崎,5
洋介,雪穗,4
弥生子,笹垣,77
弥生子,洋介,17
弥生子,古贺,7
弥生子,松浦,56
弥生子,亮司,51
弥生子,菊池,6
松浦,笹垣,101
松浦,弥生子,56
松浦,古贺,14
松浦,洋介,12
松浦,亮司,43
松浦,园村,55
松浦,弘惠,6
松浦,今枝,6
松浦,雪穗,5
松浦,菊池,6
亮司,洋介,8
亮司,笹垣,87
亮司,弥生子,51
亮司,松浦,43
亮司,古贺,4
亮司,园村,12
亮司,今枝,7
亮司,秋吉,4
亮司,雪穗,33
亮司,一成,24
亮司,康晴,11
亮司,菊池,22
文代,笹垣,57
文代,古贺,31
文代,雪穗,79
文代,洋介,16
文代,中冢,6
文代,寺崎,25
文代,田川,7
文代,正晴,5
文代,礼子,8
文代,今枝,4
雪穗,古贺,65
雪穗,笹垣,225
雪穗,文代,79
雪穗,田川,43
雪穗,江利子,249
雪穗,牟田,9
雪穗,藤村,29
雪穗,秋吉,6
雪穗,礼子,85
雪穗,正晴,70
雪穗,香苗,7
雪穗,一成,193
雪穗,高宫,96
雪穗,千都留,14
雪穗,夏美,53
雪穗,今枝,194
雪穗,康晴,106
雪穗,绘里,8
雪穗,邦子,7
雪穗,松浦,5
雪穗,亮司,33
雪穗,洋介,4
雪穗,寺崎,21
雪穗,美佳,134
雪穗,菊池,37
寺崎,文代,25
寺崎,洋介,5
寺崎,古贺,31
寺崎,笹垣,63
寺崎,雪穗,21
田川,文代,7
田川,雪穗,43
田川,正晴,15
秋吉,菊池,6
秋吉,雪穗,6
秋吉,今枝,53
秋吉,千都留,10
秋吉,高宫,12
秋吉,笹垣,27
秋吉,亮司,4
秋吉,典子,93
秋吉,绘里,6
菊池,秋吉,6
菊池,笹垣,79
菊池,雪穗,37
菊池,今枝,6
菊池,亮司,22
菊池,一成,22
菊池,藤村,10
菊池,弥生子,6
菊池,松浦,6
江利子,雪穗,249
江利子,藤村,12
江利子,一成,90
江利子,香苗,22
江利子,高宫,15
江利子,今枝,7
牟田,藤村,6
牟田,雪穗,9
藤村,牟田,6
藤村,雪穗,29
藤村,江利子,12
藤村,菊池,10
藤村,笹垣,12
藤村,一成,6
礼子,雪穗,85
礼子,正晴,31
礼子,文代,8
礼子,高宫,4
礼子,今枝,4
礼子,夏美,8
礼子,一成,6
园村,亮司,12
园村,夕子,54
园村,奈美江,112
园村,弘惠,117
园村,松浦,55
园村,笹垣,4
夕子,园村,54
夕子,奈美江,19
奈美江,园村,112
奈美江,夕子,19
正晴,礼子,31
正晴,雪穗,70
正晴,文代,5
正晴,田川,15
一成,香苗,21
一成,雪穗,193
一成,江利子,90
一成,今枝,121
一成,高宫,23
一成,康晴,124
一成,笹垣,197
一成,亮司,24
一成,夏美,20
一成,礼子,6
一成,美佳,8
一成,菊池,22
一成,藤村,6
香苗,一成,21
香苗,雪穗,7
香苗,江利子,22
高宫,千都留,51
高宫,雪穗,96
高宫,礼子,4
高宫,今枝,140
高宫,秋吉,12
高宫,一成,23
高宫,江利子,15
高宫,笹垣,14
千都留,高宫,51
千都留,雪穗,14
千都留,今枝,20
千都留,秋吉,10
弘惠,园村,117
弘惠,松浦,6
夏美,雪穗,53
夏美,一成,20
夏美,礼子,8
今枝,高宫,140
今枝,千都留,20
今枝,秋吉,53
今枝,一成,121
今枝,雪穗,194
今枝,绘里,89
今枝,康晴,10
今枝,文代,4
今枝,礼子,4
今枝,邦子,40
今枝,江利子,7
今枝,笹垣,167
今枝,松浦,6
今枝,亮司,7
今枝,典子,8
今枝,菊池,6
康晴,雪穗,106
康晴,今枝,10
康晴,一成,124
康晴,笹垣,19
康晴,美佳,79
康晴,亮司,11
绘里,今枝,89
绘里,雪穗,8
绘里,笹垣,21
绘里,秋吉,6
邦子,今枝,40
邦子,雪穗,7
典子,秋吉,93
典子,今枝,8
典子,藤井,20
典子,笹垣,23
藤井,典子,20
美佳,康晴,79
美佳,雪穗,134
美佳,一成,8
美佳,笹垣,5
